time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444800000	9.92263	1.25308	5.23675	0.198911	0.174995	lidar	3.20523	10.0484	1.44598	9.86254	1.31118	0.219305	0.0552067
1477010444850000	10.1716	1.34383	5.18866	0.228433	0.202987	radar	4.71235	10.5377	1.72555	10.1116	1.37011	0.2309	0.0596399
1477010444900000	10.3968	1.4261	5.15931	0.251179	0.219312	lidar	1.22494	10.2492	1.45907	10.3598	1.4321	0.242748	0.064287
1477010444950000	10.6294	1.51327	5.08352	0.277385	0.242179	radar	4.06405	10.9084	1.70343	10.6069	1.49721	0.254845	0.0691508
1477010445000000	10.8559	1.54522	5.05201	0.272418	0.221092	lidar	1.32685	10.7313	1.45265	10.853	1.56549	0.267188	0.0742341
1477010445050000	11.1206	1.59709	5.08889	0.272235	0.205635	radar	1.88997	11.4783	1.42876	11.0979	1.637	0.279772	0.0795394
1477010445100000	11.3993	1.64284	5.12399	0.267835	0.186581	lidar	1.91797	11.587	1.61462	11.3416	1.71179	0.292592	0.0850689
1477010445150000	11.631	1.70168	5.08113	0.27512	0.185406	radar	0.910385	11.4763	1.53917	11.584	1.78992	0.305646	0.0908247
1477010445200000	11.8613	1.76639	5.06281	0.283281	0.184206	lidar	0.375465	11.7788	1.74591	11.8251	1.87144	0.318928	0.0968087
1477010445250000	12.1159	1.8567	5.11355	0.298164	0.189387	radar	1.37672	12.136	2.14937	12.0648	1.95639	0.332435	0.103023
1477010445300000	12.3592	1.88459	5.0951	0.284904	0.160904	lidar	0.730752	12.3226	1.78353	12.3029	2.04482	0.346162	0.109468
1477010445350000	12.6145	1.94518	5.13427	0.284177	0.147853	radar	0.98837	12.5457	1.77728	12.5394	2.13677	0.360106	0.116146
1477010445400000	12.8143	2.08057	5.10297	0.326403	0.191807	lidar	3.30056	12.5924	2.17509	12.7743	2.23227	0.374261	0.123057
1477010445450000	13.0795	2.18724	5.18687	0.340768	0.193721	radar	3.54117	13.2198	2.66441	13.0075	2.33136	0.388625	0.130203
1477010445500000	13.2822	2.32898	5.16064	0.380793	0.231891	lidar	2.49777	13.0875	2.40708	13.2388	2.43409	0.403192	0.137584
1477010445550000	13.4628	2.47787	5.06262	0.429395	0.284697	radar	10.7798	12.7087	3.12439	13.4682	2.54047	0.417959	0.145201
1477010445600000	13.712	2.59189	5.09016	0.44401	0.284854	lidar	0.853467	13.836	2.62479	13.6955	2.65053	0.432922	0.153054
1477010445650000	13.9315	2.70696	5.07205	0.462758	0.291958	radar	0.201323	13.8302	2.73893	13.9208	2.7643	0.448076	0.161143
1477010445700000	14.1597	2.8593	5.09552	0.493922	0.31215	lidar	0.563327	14.2105	2.94205	14.1439	2.88179	0.463419	0.169467
1477010445750000	14.4091	2.96744	5.15505	0.493452	0.285608	radar	1.56914	14.5568	2.87021	14.3646	3.00303	0.478945	0.178027
1477010445800000	14.617	3.03891	5.10312	0.487786	0.26179	lidar	2.2701	14.4616	2.90734	14.583	3.12802	0.494652	0.186822
1477010445850000	14.8473	3.19133	5.15804	0.510083	0.268456	radar	3.82123	14.6754	3.96041	14.7989	3.25679	0.510535	0.195852
1477010445900000	15.0539	3.38327	5.18049	0.554827	0.306711	lidar	1.08752	15.0261	3.5067	15.0122	3.38932	0.526591	0.205114
1477010445950000	15.2646	3.55088	5.17169	0.587713	0.332204	radar	2.49326	15.3685	4.14761	15.2228	3.52563	0.542815	0.214608
