time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445450000	nan	nan	nan	nan	nan	radar	nan	13.2198	2.66441	13.0075	2.33136	0.388625	0.130203
1477010445500000	nan	nan	nan	nan	nan	lidar	nan	13.0875	2.40708	13.2388	2.43409	0.403192	0.137584
1477010445550000	nan	nan	nan	nan	nan	radar	nan	12.7087	3.12439	13.4682	2.54047	0.417959	0.145201
1477010445600000	nan	nan	nan	nan	nan	lidar	nan	13.836	2.62479	13.6955	2.65053	0.432922	0.153054
1477010445650000	nan	nan	nan	nan	nan	radar	nan	13.8302	2.73893	13.9208	2.7643	0.448076	0.161143
1477010445700000	nan	nan	nan	nan	nan	lidar	nan	14.2105	2.94205	14.1439	2.88179	0.463419	0.169467
1477010445750000	nan	nan	nan	nan	nan	radar	nan	14.5568	2.87021	14.3646	3.00303	0.478945	0.178027
1477010445800000	nan	nan	nan	nan	nan	lidar	nan	14.4616	2.90734	14.583	3.12802	0.494652	0.186822
1477010445850000	nan	nan	nan	nan	nan	radar	nan	14.6754	3.96041	14.7989	3.25679	0.510535	0.195852
1477010445900000	nan	nan	nan	nan	nan	lidar	nan	15.0261	3.5067	15.0122	3.38932	0.526591	0.205114
1477010445950000	nan	nan	nan	nan	nan	radar	nan	15.3685	4.14761	15.2228	3.52563	0.542815	0.214608
1477010446000000	nan	nan	nan	nan	nan	lidar	nan	15.5236	3.82936	15.4306	3.66572	0.559205	0.224333
1477010446050000	nan	nan	nan	nan	nan	radar	nan	15.7234	3.4105	15.6356	3.80957	0.575757	0.234287
1477010446100000	nan	nan	nan	nan	nan	lidar	nan	15.9774	4.00094	15.8375	3.95718	0.592467	0.244468
1477010446150000	nan	nan	nan	nan	nan	radar	nan	16.3376	4.21632	16.0363	4.10854	0.609332	0.254875
1477010446200000	nan	nan	nan	nan	nan	lidar	nan	16.3313	4.44499	16.2319	4.26363	0.626349	0.265505
1477010446250000	nan	nan	nan	nan	nan	radar	nan	16.7586	4.48231	16.4242	4.42242	0.643514	0.276356
1477010446300000	nan	nan	nan	nan	nan	lidar	nan	16.6039	4.67344	16.613	4.5849	0.660825	0.287425
1477010446350000	nan	nan	nan	nan	nan	radar	nan	16.9236	5.10119	16.7983	4.75103	0.678278	0.298711
1477010446400000	nan	nan	nan	nan	nan	lidar	nan	16.9955	5.21099	16.9799	4.92077	0.69587	0.310209
1477010446450000	nan	nan	nan	nan	nan	radar	nan	17.3421	4.64623	17.1578	5.09409	0.713599	0.321916
1477010446500000	nan	nan	nan	nan	nan	lidar	nan	17.2894	5.43542	17.3319	5.27094	0.731461	0.333831
1477010446550000	nan	nan	nan	nan	nan	radar	nan	17.6463	4.74597	17.5019	5.45128	0.749454	0.345948
1477010446600000	nan	nan	nan	nan	nan	lidar	nan	17.7853	5.62476	17.6679	5.63506	0.767575	0.358265
1477010446650000	nan	nan	nan	nan	nan	radar	nan	17.9216	6.07151	17.8297	5.82221	0.785823	0.370778
1477010446700000	nan	nan	nan	nan	nan	lidar	nan	18.1263	6.16985	17.9872	6.01269	0.804194	0.383482
1477010446750000	nan	nan	nan	nan	nan	radar	nan	18.1245	6.79027	18.1403	6.20641	0.822686	0.396375
1477010446800000	nan	nan	nan	nan	nan	lidar	nan	18.2164	6.66138	18.2888	6.40332	0.841297	0.409451
1477010446850000	nan	nan	nan	nan	nan	radar	nan	18.4022	7.02231	18.4328	6.60333	0.860025	0.422705
1477010446900000	nan	nan	nan	nan	nan	lidar	nan	18.5422	6.76013	18.572	6.80638	0.878867	0.436135
1477010446950000	nan	nan	nan	nan	nan	radar	nan	18.8089	7.24388	18.7064	7.01237	0.897823	0.449734
1477010447000000	nan	nan	nan	nan	nan	lidar	nan	19.1441	7.18344	18.8359	7.22122	0.91689	0.463498
1477010447050000	nan	nan	nan	nan	nan	radar	nan	18.5479	7.4012	18.9604	7.43283	0.936066	0.477422
1477010447100000	nan	nan	nan	nan	nan	lidar	nan	19.0138	7.8688	19.0798	7.64712	0.95535	0.491501
1477010447150000	nan	nan	nan	nan	nan	radar	nan	19.3089	7.67375	19.1939	7.86397	0.974741	0.505729
1477010447200000	nan	nan	nan	nan	nan	lidar	nan	19.132	8.12845	19.3028	8.08329	0.994236	0.5201
1477010447250000	nan	nan	nan	nan	nan	radar	nan	19.0239	8.17194	19.4062	8.30497	1.01383	0.53461
1477010447300000	nan	nan	nan	nan	nan	lidar	nan	19.347	8.30741	19.5042	8.5289	1.03354	0.549253
1477010447350000	nan	nan	nan	nan	nan	radar	nan	19.6843	8.35902	19.5967	8.75494	1.05334	0.564023
1477010447400000	nan	nan	nan	nan	nan	lidar	nan	20.0039	8.8906	19.6835	8.983	1.07324	0.578913
1477010447450000	nan	nan	nan	nan	nan	radar	nan	19.6061	9.48659	19.7645	9.21294	1.09324	0.593918
1477010447500000	nan	nan	nan	nan	nan	lidar	nan	20.1574	9.45949	19.8398	9.44463	1.11335	0.609031
1477010447550000	nan	nan	nan	nan	nan	radar	nan	19.6163	9.76606	19.9093	9.67795	1.13354	0.624246
1477010447600000	nan	nan	nan	nan	nan	lidar	nan	20.1573	9.90876	19.9728	9.91275	1.15384	0.639557
1477010447650000	nan	nan	nan	nan	nan	radar	nan	19.1911	11.5493	20.0303	10.1489	1.17423	0.654957
1477010447700000	nan	nan	nan	nan	nan	lidar	nan	20.166	10.4687	20.0817	10.3863	1.19472	0.670439
1477010447750000	nan	nan	nan	nan	nan	radar	nan	19.6774	10.803	20.1271	10.6247	1.21531	0.685997
1477010447800000	nan	nan	nan	nan	nan	lidar	nan	20.3711	11.0109	20.1663	10.864	1.23598	0.701624
1477010447850000	nan	nan	nan	nan	nan	radar	nan	19.4335	12.3402	20.1993	11.1041	1.25676	0.717312
1477010447900000	nan	nan	nan	nan	nan	lidar	nan	20.3164	11.3483	20.2261	11.3449	1.27763	0.733056
1477010447950000	nan	nan	nan	nan	nan	radar	nan	19.2063	12.2418	20.2466	11.5861	1.29859	0.748846
1477010448000000	nan	nan	nan	nan	nan	lidar	nan	20.6141	11.9421	20.2608	11.8275	1.31965	0.764677
1477010448050000	nan	nan	nan	nan	nan	radar	nan	19.966	11.9688	20.2687	12.0692	1.3408	0.780541
1477010448100000	nan	nan	nan	nan	nan	lidar	nan	20.3263	12.4966	20.2701	12.3108	1.36205	0.79643
1477010448150000	nan	nan	nan	nan	nan	radar	nan	20.0192	12.4822	20.2653	12.5522	1.38339	0.812338
1477010448200000	nan	nan	nan	nan	nan	lidar	nan	20.498	12.8924	20.254	12.7933	1.40483	0.828256
1477010448250000	nan	nan	nan	nan	nan	radar	nan	20.9151	12.2555	20.2363	13.0339	1.42636	0.844176
1477010448300000	nan	nan	nan	nan	nan	lidar	nan	20.1943	13.1688	20.2122	13.2738	1.44799	0.860092
1477010448350000	nan	nan	nan	nan	nan	radar	nan	19.858	13.5236	20.1818	13.5129	1.46971	0.875995
1477010448400000	nan	nan	nan	nan	nan	lidar	nan	20.3245	13.8896	20.1449	13.7509	1.49153	0.891878
1477010448450000	nan	nan	nan	nan	nan	radar	nan	20.3387	13.5307	20.1017	13.9878	1.51344	0.907732
1477010448500000	nan	nan	nan	nan	nan	lidar	nan	20.1216	14.337	20.0521	14.2233	1.53545	0.92355
1477010448550000	nan	nan	nan	nan	nan	radar	nan	19.6717	14.4038	19.9962	14.4573	1.55756	0.939324
1477010448600000	nan	nan	nan	nan	nan	lidar	nan	19.781	14.773	19.9339	14.6897	1.57976	0.955045
1477010448650000	nan	nan	nan	nan	nan	radar	nan	20.1149	14.0165	19.8655	14.9202	1.60206	0.970706
1477010448700000	nan	nan	nan	nan	nan	lidar	nan	20.0208	15.2053	19.7908	15.1486	1.62446	0.986298
1477010448750000	nan	nan	nan	nan	nan	radar	nan	20.0157	15.3443	19.7099	15.3749	1.64696	1.00181
1477010448800000	nan	nan	nan	nan	nan	lidar	nan	19.9131	15.554	19.6229	15.5989	1.66955	1.01724
1477010448850000	nan	nan	nan	nan	nan	radar	nan	19.9388	15.0864	19.5298	15.8203	1.69225	1.03258
1477010448900000	nan	nan	nan	nan	nan	lidar	nan	19.4748	16.0098	19.4307	16.039	1.71504	1.04782
1477010448950000	nan	nan	nan	nan	nan	radar	nan	19.1556	16.0022	19.3257	16.255	1.73794	1.06294
1477010449000000	nan	nan	nan	nan	nan	lidar	nan	19.238	16.2719	19.2148	16.4679	1.76093	1.07795
1477010449050000	nan	nan	nan	nan	nan	radar	nan	19.4007	16.2962	19.0981	16.6777	1.78402	1.09283
1477010449100000	nan	nan	nan	nan	nan	lidar	nan	19.0029	16.8387	18.9757	16.8841	1.80721	1.10758
1477010449150000	nan	nan	nan	nan	nan	radar	nan	18.8373	17.7112	18.8477	17.0872	1.83051	1.12218
1477010449200000	nan	nan	nan	nan	nan	lidar	nan	18.6148	17.3832	18.7142	17.2866	1.8539	1.13664
1477010449250000	nan	nan	nan	nan	nan	radar	nan	18.8177	17.0316	18.5752	17.4822	1.8774	1.15093
1477010449300000	nan	nan	nan	nan	nan	lidar	nan	18.1023	17.5529	18.4309	17.674	1.90099	1.16505
1477010449350000	nan	nan	nan	nan	nan	radar	nan	18.2749	17.4877	18.2814	17.8617	1.92469	1.179
1477010449400000	nan	nan	nan	nan	nan	lidar	nan	18.2094	18.0461	18.1268	18.0453	1.94848	1.19276
1477010449450000	nan	nan	nan	nan	nan	radar	nan	18.3021	17.498	17.9671	18.2246	1.97238	1.20633
1477010449500000	nan	nan	nan	nan	nan	lidar	nan	17.9017	18.2183	17.8026	18.3994	1.99637	1.2197
1477010449550000	nan	nan	nan	nan	nan	radar	nan	18.8558	18.1364	17.6334	18.5697	2.02047	1.23286
1477010449600000	nan	nan	nan	nan	nan	lidar	nan	17.3845	18.7039	17.4595	18.7353	2.04467	1.2458
1477010449650000	nan	nan	nan	nan	nan	radar	nan	17.7945	18.0801	17.2811	18.8962	2.06896	1.25851
1477010449700000	nan	nan	nan	nan	nan	lidar	nan	17.1762	18.8863	17.0983	19.0521	2.09335	1.27099
1477010449750000	nan	nan	nan	nan	nan	radar	nan	16.9398	19.7311	16.9113	19.203	2.11784	1.28322
1477010449800000	nan	nan	nan	nan	nan	lidar	nan	16.5734	19.052	16.7202	19.3488	2.14242	1.2952
1477010449850000	nan	nan	nan	nan	nan	radar	nan	16.1674	20.2201	16.5251	19.4894	2.16711	1.30693
1477010449900000	nan	nan	nan	nan	nan	lidar	nan	16.2338	19.617	16.3262	19.6246	2.19188	1.31838
